New_ID,iMab100nM_6.5_5,imseeker
V2_IMOTIF_10296,-0.42,0.0
V2_IMOTIF_10297,16.39,0.0
V2_IMOTIF_10298,-0.37,0.0
V2_IMOTIF_10299,9.25,0.262
V2_IMOTIF_103,-0.47,0.0
V2_IMOTIF_1030,-0.38,0.0
V2_IMOTIF_10300,19.67,0.0
V2_IMOTIF_10301,14.65,0.0
V2_IMOTIF_10302,28.67,0.223
V2_IMOTIF_10303,22.36,0.207
V2_IMOTIF_10304,29.67,0.48
V2_IMOTIF_10305,15.66,0.0
V2_IMOTIF_10306,12.99,0.28
V2_IMOTIF_10307,26.21,0.346
V2_IMOTIF_10308,21.83,0.0
V2_IMOTIF_10309,20.48,0.27
V2_IMOTIF_1031,17.96,0.405
V2_IMOTIF_10310,-0.43,0.0
V2_IMOTIF_10311,3.52,0.285
V2_IMOTIF_10312,-0.38,0.0
V2_IMOTIF_10313,22.48,0.259
V2_IMOTIF_10314,-0.28,0.0
V2_IMOTIF_10315,17.41,0.425
V2_IMOTIF_10316,21.16,0.0
V2_IMOTIF_10317,0.22,0.0
V2_IMOTIF_10318,21.46,0.256
V2_IMOTIF_10319,28.73,0.301
V2_IMOTIF_1032,32.51,0.294
V2_IMOTIF_10320,20.4,0.313
V2_IMOTIF_10321,-0.3,0.0
V2_IMOTIF_10322,23.9,0.0
V2_IMOTIF_10323,4.97,0.415
V2_IMOTIF_10324,24.17,0.397
V2_IMOTIF_10325,31.47,0.0
V2_IMOTIF_10326,29.93,0.292
V2_IMOTIF_10327,27.94,0.537
V2_IMOTIF_10328,7.44,0.0
V2_IMOTIF_10329,5.63,0.0
V2_IMOTIF_1033,19.02,0.303
V2_IMOTIF_10330,19.35,0.0
V2_IMOTIF_10331,7.31,0.463
V2_IMOTIF_10332,3.39,0.276
V2_IMOTIF_10333,16.68,0.247
V2_IMOTIF_10334,17.7,0.317
V2_IMOTIF_10335,3.26,0.351
V2_IMOTIF_10336,-0.4,0.541
V2_IMOTIF_10337,16.65,0.0
V2_IMOTIF_10338,-0.42,0.0
V2_IMOTIF_10339,12.7,0.447
V2_IMOTIF_1034,32.26,0.287
V2_IMOTIF_10340,-0.3,0.0
V2_IMOTIF_10341,-0.43,0.0
V2_IMOTIF_10342,22.68,0.0
V2_IMOTIF_10343,5.32,0.413
V2_IMOTIF_10344,-0.09,0.367
V2_IMOTIF_10345,10.98,0.0
V2_IMOTIF_10346,7.68,0.384
V2_IMOTIF_10347,-0.39,0.0
V2_IMOTIF_10348,8.47,0.297
V2_IMOTIF_10349,0.14,0.458
V2_IMOTIF_1035,9.26,0.339
V2_IMOTIF_10350,20.67,0.256
V2_IMOTIF_10351,1.57,0.376
V2_IMOTIF_10352,-0.35,0.0
V2_IMOTIF_10353,-0.35,0.304
V2_IMOTIF_10354,-0.43,0.0
V2_IMOTIF_10355,-0.33,0.0
V2_IMOTIF_10356,-0.33,0.0
V2_IMOTIF_10357,-0.07,0.355
V2_IMOTIF_10358,-0.42,0.0
V2_IMOTIF_10359,-0.4,0.544
V2_IMOTIF_1036,15.93,0.282
V2_IMOTIF_10360,-0.12,0.0
V2_IMOTIF_10361,17.68,0.368
V2_IMOTIF_10362,-0.46,0.0
V2_IMOTIF_10363,21.64,0.287
V2_IMOTIF_10364,11.72,0.0
V2_IMOTIF_10365,-0.41,0.0
V2_IMOTIF_10366,-0.21,0.0
V2_IMOTIF_10367,-0.38,0.543
V2_IMOTIF_10368,-0.4,0.388
V2_IMOTIF_10369,-0.44,0.428
V2_IMOTIF_1037,29.26,0.255
V2_IMOTIF_10370,0.57,0.0
V2_IMOTIF_10371,-0.43,0.0
V2_IMOTIF_10372,20.4,0.37
V2_IMOTIF_10373,19.39,0.381
V2_IMOTIF_10374,0.54,0.0
V2_IMOTIF_10375,0.39,0.0
V2_IMOTIF_10376,15.91,0.388
V2_IMOTIF_10377,0.06,0.511
V2_IMOTIF_10378,4.98,0.355
V2_IMOTIF_10379,-0.38,0.367
V2_IMOTIF_1038,33.05,0.287
V2_IMOTIF_10380,0.17,0.318
V2_IMOTIF_10381,1.33,0.0
V2_IMOTIF_10382,2.02,0.296
V2_IMOTIF_10383,6.81,0.337
V2_IMOTIF_10384,3.72,0.0
V2_IMOTIF_10385,3.3,0.0
V2_IMOTIF_10386,-0.44,0.469
V2_IMOTIF_10387,-0.44,0.499
V2_IMOTIF_10388,25.29,0.339
V2_IMOTIF_10389,-0.3,0.0
V2_IMOTIF_1039,7.19,0.388
V2_IMOTIF_10390,0.84,0.0
V2_IMOTIF_10391,6.62,0.0
V2_IMOTIF_10392,0.38,0.403
V2_IMOTIF_10393,19.39,0.209
V2_IMOTIF_10394,23.37,0.206
V2_IMOTIF_10395,-0.38,0.389
V2_IMOTIF_10396,29.94,0.417
V2_IMOTIF_10397,32.27,0.349
V2_IMOTIF_10398,0.66,0.0
V2_IMOTIF_10399,4.16,0.0
V2_IMOTIF_104,0.06,0.0
V2_IMOTIF_1040,19.99,0.252
V2_IMOTIF_10400,-0.42,0.0
V2_IMOTIF_10401,3.56,0.408
V2_IMOTIF_10402,-0.54,0.468
V2_IMOTIF_10403,8.35,0.338
V2_IMOTIF_10404,0.7,0.297
V2_IMOTIF_10405,11.59,0.0
V2_IMOTIF_10406,7.97,0.324
V2_IMOTIF_10407,-0.46,0.0
V2_IMOTIF_10408,-0.47,0.345
V2_IMOTIF_10409,16.65,0.28
V2_IMOTIF_1041,0.97,0.302
V2_IMOTIF_10410,20.09,0.312
V2_IMOTIF_10411,8.17,0.322
V2_IMOTIF_10412,22.45,0.293
V2_IMOTIF_10413,9.35,0.0
V2_IMOTIF_10414,3.1,0.0
V2_IMOTIF_10415,27.46,0.0
V2_IMOTIF_10416,1.53,0.526
V2_IMOTIF_10417,11.94,0.379
V2_IMOTIF_10418,22.12,0.0
V2_IMOTIF_10419,16.12,0.0
V2_IMOTIF_1042,-0.44,0.0
V2_IMOTIF_10420,18.69,0.0
V2_IMOTIF_10421,14.37,0.421
V2_IMOTIF_10422,24.82,0.0
V2_IMOTIF_10423,22.53,0.442
V2_IMOTIF_10424,25.02,0.0
V2_IMOTIF_10425,2.07,0.448
V2_IMOTIF_10426,4.23,0.385
V2_IMOTIF_10427,30.15,0.377
V2_IMOTIF_10428,28.87,0.331
V2_IMOTIF_10429,25.71,0.329
V2_IMOTIF_1043,15.28,0.382
V2_IMOTIF_10430,26.12,0.272
V2_IMOTIF_10431,25.57,0.0
V2_IMOTIF_10432,25.86,0.0
V2_IMOTIF_10433,28.04,0.364
V2_IMOTIF_10434,37.4,0.0
V2_IMOTIF_10435,-0.44,0.0
V2_IMOTIF_10436,-0.36,0.0
V2_IMOTIF_10437,-0.42,0.242
V2_IMOTIF_10438,15.53,0.0
V2_IMOTIF_10439,27.44,0.318
V2_IMOTIF_1044,21.61,0.386
V2_IMOTIF_10440,-0.4,0.0
V2_IMOTIF_10441,-0.33,0.0
V2_IMOTIF_10442,2.75,0.0
V2_IMOTIF_10443,-0.41,0.0
V2_IMOTIF_10444,11.8,0.0
V2_IMOTIF_10445,19.9,0.318
V2_IMOTIF_10446,-0.07,0.0
V2_IMOTIF_10447,21.82,0.321
V2_IMOTIF_10448,2.56,0.294
V2_IMOTIF_10449,14.24,0.312
V2_IMOTIF_1045,1.8,0.0
V2_IMOTIF_10450,5.48,0.463
V2_IMOTIF_10451,-0.42,0.202
V2_IMOTIF_10452,16.71,0.426
V2_IMOTIF_10453,20.32,0.329
V2_IMOTIF_10454,18.43,0.0
V2_IMOTIF_10455,-0.05,0.0
V2_IMOTIF_10456,23.94,0.323
